epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.6045905947685242,0.1875,0.6679530322551728,0.16741071492433549,2024-11-12 12:24:43.262594
1,0.5373932747613817,0.2971938777537573,0.6213129341602326,0.19241071492433548,2024-11-12 12:24:43.262594
2,0.4947121909686497,0.3477891158489954,0.5226009756326675,0.26339285746216773,2024-11-12 12:24:43.262594
3,0.46534701756068636,0.36054421890349614,0.4729564905166626,0.28839285746216775,2024-11-12 12:24:43.262594
4,0.43797654906908673,0.3596938777537573,0.44289123117923734,0.29642857164144515,2024-11-12 12:24:43.262594
5,0.4173778252942221,0.3775510206109002,0.427051305770874,0.2977678574621677,2024-11-12 12:24:43.262594
6,0.3967674786136264,0.37074829992793856,0.4092355504631996,0.30803571492433546,2024-11-12 12:24:43.262594
7,0.3804651087238675,0.39455782373746234,0.392502149939537,0.33214285746216776,2024-11-12 12:24:43.262594
8,0.3655792801153092,0.4221938777537573,0.3831681728363037,0.38616071492433546,2024-11-12 12:24:43.262594
9,0.3521998609815325,0.48554421890349614,0.3710015833377838,0.47544642984867097,2024-11-12 12:24:43.262594
10,0.34322342844236464,0.5284863951660338,0.36021423488855364,0.47857142984867096,2024-11-12 12:24:43.262594
11,0.33141107644353596,0.5718537427130199,0.35640943348407744,0.5151785716414452,2024-11-12 12:24:43.262594
12,0.3222637687410627,0.5807823141415914,0.34988450855016706,0.5258928574621677,2024-11-12 12:24:43.262594
13,0.31425085238048006,0.6305272110870906,0.34473771005868914,0.5383928574621677,2024-11-12 12:24:43.262594
14,0.30780721987996784,0.6581632665225438,0.3373023271560669,0.559821429848671,2024-11-12 12:24:43.262594
15,0.30147703488667804,0.6760204093796867,0.3352775439620018,0.5558035716414451,2024-11-12 12:24:43.262594
16,0.2952566331341153,0.6840986396585192,0.32869403809309006,0.5803571432828903,2024-11-12 12:24:43.262594
17,0.2881543366681962,0.6960034015632811,0.32568746209144595,0.5941964298486709,2024-11-12 12:24:43.262594
18,0.2809625594388871,0.7244897967293149,0.32083277851343156,0.6098214298486709,2024-11-12 12:24:43.262594
19,0.2747586986848286,0.7504251712844485,0.31758649200201033,0.6272321432828903,2024-11-12 12:24:43.262594
20,0.2726189508324578,0.718537415776934,0.31335181146860125,0.6178571432828903,2024-11-12 12:24:43.262594
