epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,1.9099662398037158,0.3050986842105263,1.6917662306835777,0.36101973684210525,2024-12-08 12:48:13.739865
1,1.553325260940351,0.36430921052631576,1.7563761347218563,0.37088815789473684,2024-12-08 12:48:13.739865
2,1.5490318787725348,0.3692434210526316,1.9293989758742482,0.16776315789473684,2024-12-08 12:48:13.739865
3,1.8025599310272618,0.16858552631578946,1.79503018291373,0.16611842105263158,2024-12-08 12:48:13.739865
4,1.794178517241227,0.1669407894736842,1.792092044102518,0.16529605263157895,2024-12-08 12:48:13.739865
5,1.7935386645166498,0.16447368421052633,1.7960020523322255,0.16529605263157895,2024-12-08 12:48:13.739865
6,1.7942970269604732,0.17598684210526316,2.083357754506563,0.16776315789473684,2024-12-08 12:48:13.739865
7,1.794425484381224,0.16447368421052633,1.836061716079712,0.16529605263157895,2024-12-08 12:48:13.739865
8,1.7925151586532593,0.16529605263157895,1.802523867080086,0.16529605263157895,2024-12-08 12:48:13.739865
9,1.792997172004298,0.1513157894736842,1.8125488726716292,0.1669407894736842,2024-12-08 12:48:13.739865
10,1.7937915011456138,0.15953947368421054,1.79387145607095,0.16529605263157895,2024-12-08 12:48:13.739865
11,1.7931036447223865,0.1611842105263158,1.793981395269695,0.16776315789473684,2024-12-08 12:48:13.739865
12,1.792381205056843,0.17434210526315788,1.8020276960573698,0.16529605263157895,2024-12-08 12:48:13.739865
